,usable_area,land_area,bedroom,bathroom,price,land_price,Giaytohople,Hopdongmuaban,Khongxacdinh,Sodo,Sohong
11129,46.0,46.0,1.0,1.0,1000.0,4996625.0,0,0,0,0,1
11130,49.0,49.0,2.0,3.0,2057.0,26373600.0,0,0,0,0,1
11131,110.0,28.0,4.0,3.0,2200.0,2575200.0,0,0,0,0,1
11132,52.0,52.0,,,4000.0,1598400.0,0,0,0,0,1
11133,95.0,95.0,4.0,4.0,42750.0,4084750.0,0,0,0,0,1
11134,1.0,1.0,2.0,2.0,1239.0,3885000.0,0,0,0,0,1
11135,55.0,55.0,3.0,2.0,2990.0,7133600.0,0,0,0,0,1
11136,62.0,62.0,3.0,3.0,1520.0,5328000.0,0,0,0,0,1
11137,57.0,57.0,2.0,2.0,1780.0,4795200.0,1,0,0,0,0
11138,58.0,58.0,3.0,3.0,2485.0,6189360.0,0,0,0,0,1
11139,55.0,55.0,4.0,3.0,2150.0,12254400.0,0,0,0,0,1
11140,64.0,64.0,4.0,4.0,2420.0,2553000.0,0,0,0,0,1
11141,71.0,71.0,2.0,1.0,977.0,7311200.0,0,0,0,0,1
11142,70.0,70.0,2.0,2.0,1750.0,5066040.0,0,0,0,0,1
11143,54.0,54.0,2.0,2.0,1325.0,2930400.0,0,0,0,0,1
11144,1.0,1.0,2.0,,1599.0,4262400.0,0,0,1,0,0
11145,1.0,1.0,2.0,2.0,1700.0,1798200.0,0,0,0,0,1
11146,68.0,34.0,2.0,2.0,3000.0,4884000.0,0,0,0,0,1
11147,220.0,220.0,5.0,5.0,52000.0,24864000.0,0,0,0,0,1
11148,59.0,59.0,2.0,2.0,1290.0,1198800.0,0,0,0,0,1
11149,108.0,41.0,3.0,2.0,4990.0,8258400.0,0,0,0,0,1
11150,196.0,196.0,,,46000.0,12628583.333333334,0,0,0,1,0
11151,56.0,56.0,4.0,4.0,2210.0,7814400.0,0,0,0,0,1
11152,51.9,51.9,3.0,3.0,1772.0,14326400.0,0,0,0,0,1
11153,77.0,77.0,2.0,2.0,1460.0,7814400.0,0,0,0,0,1
11154,54.0,54.0,2.0,2.0,1527.0,12254400.0,0,0,0,0,1
11155,70.0,70.0,2.0,2.0,1680.0,3996000.0,1,0,0,0,0
11156,74.0,74.0,2.0,2.0,1050.0,5372400.0,0,0,0,0,1
11157,61.0,61.0,3.0,3.0,3150.0,15628800.0,0,0,0,0,1
11158,180.0,62.0,3.0,3.0,18500.0,18914400.0,0,0,0,0,1
11159,1.0,1.0,2.0,2.0,1340.0,2131200.0,0,1,0,0,0
11160,80.0,80.0,2.0,2.0,1640.0,4084750.0,0,0,0,0,1
11161,60.0,60.0,3.0,2.0,2395.0,10434000.0,0,0,0,0,1
11162,56.0,56.0,2.0,3.0,1593.0,8580300.0,0,0,0,0,1
11163,97.0,97.0,3.0,2.0,4699.0,3330000.0,0,0,0,0,1
11164,86.0,43.0,2.0,2.0,1672.0,9768000.0,0,0,0,0,1
11165,57.0,57.0,3.0,3.0,3020.0,8580300.0,0,0,0,0,1
11166,80.0,80.0,2.0,2.0,1580.0,1598400.0,0,0,0,0,1
11167,68.0,68.0,2.0,2.0,1630.0,3729600.0,1,0,0,0,0
11168,68.0,68.0,2.0,2.0,2130.0,8524800.0,0,0,0,0,1
11169,1.0,1.0,2.0,2.0,1299.0,3729600.0,0,1,0,0,0
11170,70.0,70.0,3.0,3.0,1850.0,8613600.0,0,0,0,0,1
11171,1.0,1.0,2.0,1.0,1979.0,9190800.0,0,0,1,0,0
